game_id,possession_id,wall_clock_ts,entry_price,exit_price,exit_reason,entry_side,hold_time_s,gross_pnl,net_pnl,run_prob,traj_final,hazard_final,quarter,score_diff,run_length
0022501150,20,2026-04-07 23:53:25.333333+00:00,31.0,31.0,momentum_flip,-1,157.7134,-0.0,-1.0850000000000002,0.11143808811903,-0.08239591121673584,0.9964776635169983,1,-2,2
0022501150,38,2026-04-08 00:03:38.500000+00:00,42.0,33.0,take_profit,-1,0.546619,9.0,898.6875,0.245960995554924,-0.20327676832675934,0.995546817779541,1,-7,3
0022501150,50,2026-04-08 00:10:52.916667+00:00,49.0,52.0,stop_loss,-1,83.130598,-3.0,-301.7675,0.13713249564170837,-0.08834977447986603,0.9954506754875183,2,1,3
0022501150,52,2026-04-08 00:12:26.083333+00:00,52.0,47.0,take_profit,-1,99.96337,5.0,498.2675,0.14181450009346008,-0.08901450783014297,0.9940517544746399,2,4,4
0022501150,54,2026-04-08 00:16:04.666667+00:00,54.0,57.0,stop_loss,-1,221.380185,-3.0,-301.9425,0.15756753087043762,-0.08625436574220657,0.9924958944320679,2,4,4
0022501150,123,2026-04-08 01:10:39+00:00,69.0,64.0,take_profit,-1,49.046589,5.0,497.6725,0.2554297149181366,-0.09840041399002075,0.9965417981147766,3,9,3
0022501151,38,2026-04-08 00:02:57+00:00,51.0,53.0,momentum_flip,-1,32.049821,-2.0,-201.82,0.1475197821855545,-0.14447686076164246,0.9979255199432373,1,1,2
0022501151,62,2026-04-08 00:18:11.250000+00:00,52.0,47.0,take_profit,-1,1.800897,5.0,498.2675,0.1815483123064041,-0.08510027825832367,0.9989223480224609,2,2,2
0022501151,69,2026-04-08 00:23:52.500000+00:00,59.0,62.0,stop_loss,-1,38.550219,-3.0,-302.1175,0.21222686767578125,-0.0806083008646965,0.9983055591583252,2,0,2
0022501158,108,2026-04-09 00:28:45.333333+00:00,40.0,43.0,stop_loss,-1,47.785813,-3.0,-301.4525,0.24464406073093414,-0.11419756710529327,0.9995403289794922,3,-4,3
