game_id,possession_id,wall_clock_ts,entry_price,exit_price,exit_reason,entry_side,hold_time_s,gross_pnl,net_pnl,run_prob,traj_final,traj_used,traj_aggregator,hazard_final,quarter,score_diff,run_length,fees,entry_tick_age_s
0042500231,69,2026-05-05 02:33:07.500000+00:00,61.0,64.0,stop_loss,-1,132.54527,-3.0,-302.04,0.18457449972629547,-0.17081645131111145,-0.1442597731947899,mean,0.9889702796936035,2,3,3,2.04,2.456086
0042500233,58,2026-05-09 02:21:05.333333+00:00,39.0,39.0,time_gate,-1,240.0,-0.0,-2.09,0.19622205197811127,-0.09812787920236588,-0.08089380711317062,mean,0.9963610768318176,2,1,2,2.09,0.307507
0042500234,44,2026-05-11 00:11:33.250000+00:00,39.0,40.0,momentum_flip,-1,22.958098,-1.0,-102.11,0.20856386423110962,-0.09969368577003479,-0.08206082060933113,mean,0.9641819000244141,1,5,5,2.11,0.041352
0042500234,58,2026-05-11 00:22:25.666667+00:00,41.0,44.0,stop_loss,-1,62.544839,-3.0,-302.16,0.17325736582279205,-0.22198627889156342,-0.18786007463932036,mean,0.9839858412742615,2,6,2,2.16,0.458556
0042500234,61,2026-05-11 00:24:48.666667+00:00,60.0,63.0,stop_loss,-1,36.541688,-3.0,-302.07,0.18033859133720398,-0.12748798727989197,-0.10619465187191963,mean,0.9724158048629761,2,6,2,2.07,1.458612
0042500234,68,2026-05-11 00:30:31+00:00,67.0,71.0,stop_loss,-1,66.208261,-4.0,-401.84,0.23032966256141663,-0.1332477331161499,-0.11009510904550553,mean,0.9954093098640442,2,2,2,1.8399999999999999,0.791694
0042500234,138,2026-05-11 01:25:49.500000+00:00,39.0,34.0,take_profit,-1,58.708903,5.0,499.18,0.1731027513742447,-0.10920186340808868,-0.09016166403889656,mean,0.9894371032714844,3,-6,2,0.8200000000000001,0.291857
0042500234,141,2026-05-11 01:28:24.500000+00:00,45.0,44.0,momentum_flip,-1,192.71803,1.0,97.83,0.2097616046667099,-0.1326581984758377,-0.10979726016521454,mean,0.9923563003540039,3,-6,3,2.17,0.291721
0042500234,174,2026-05-11 01:55:26+00:00,34.0,37.0,stop_loss,-1,0.208501,-3.0,-302.04,0.155197411775589,-0.15725311636924744,-0.13120758011937142,mean,0.9927871823310852,4,-6,2,2.04,0.791571
0052500201,15,2026-04-17 23:50:15.333333+00:00,45.0,48.0,stop_loss,-1,23.818921,-3.0,-302.19,0.19176164269447327,-0.15452589094638824,-0.12947046905755996,mean,0.9872022271156311,1,5,3,2.19,1.180167
