game_id,possession_id,wall_clock_ts,entry_price,exit_price,exit_reason,entry_side,hold_time_s,gross_pnl,net_pnl,run_prob,traj_final,traj_used,traj_aggregator,hazard_final,quarter,score_diff,run_length
0022501150,160,2026-04-08 01:35:25.444444+00:00,50.0,58.0,momentum_flip,1,162.602,8.0,800.0,0.08440451323986053,0.12866204977035522,0.12866204977035522,final,0.9991581439971924,4,3,2
0022501150,169,2026-04-08 01:40:56.861111+00:00,40.0,32.0,stop_loss,1,41.185315,-8.0,-800.0,0.09832629561424255,0.18776071071624756,0.18776071071624756,final,0.9991428852081299,4,2,2
0022501158,108,2026-04-09 00:28:45.333333+00:00,40.0,46.0,momentum_flip,-1,66.786118,-6.0,-600.0,0.17186933755874634,-0.09836207330226898,-0.09836207330226898,final,0.9986374974250793,3,-4,3
0022501158,187,2026-04-09 01:19:00+00:00,54.0,62.0,stop_loss,-1,185.119316,-8.0,-800.0,0.1466619074344635,-0.1493232250213623,-0.1493232250213623,final,0.9991957545280457,4,2,4
0022501158,193,2026-04-09 01:22:21.250000+00:00,60.0,52.0,stop_loss,1,150.868967,-8.0,-800.0,0.1470382660627365,0.2268422544002533,0.2268422544002533,final,0.9995275735855103,4,5,5
0022501158,197,2026-04-09 01:24:52.916667+00:00,38.0,52.0,take_profit,1,35.201629,14.0,1400.0,0.07815082371234894,0.2278280258178711,0.2278280258178711,final,0.9997853636741638,4,4,5
0022501158,198,2026-04-09 01:26:05.833333+00:00,58.0,66.0,stop_loss,-1,198.28501,-8.0,-800.0,0.23156578838825226,-0.2817447781562805,-0.2817447781562805,final,0.9895273447036743,4,4,6
0022501158,204,2026-04-09 01:29:32.916667+00:00,66.0,74.0,stop_loss,-1,42.201569,-8.0,-800.0,0.07060985267162323,-0.4629281461238861,-0.4629281461238861,final,0.9942846894264221,4,6,7
0022501167,10,2026-04-09 23:46:39.750000+00:00,31.0,32.0,momentum_flip,1,239.282273,1.0,100.0,0.11607933789491653,0.3262227773666382,0.3262227773666382,final,0.9978534579277039,1,3,2
0022501168,5,2026-04-09 23:46:45+00:00,58.0,55.0,momentum_flip,1,160.036939,-3.0,-300.0,0.14175787568092346,0.12133252620697021,0.12133252620697021,final,0.9968410730361938,1,5,2
0022501168,61,2026-04-10 00:23:52.500000+00:00,57.0,51.0,momentum_flip,1,255.53651,-6.0,-600.0,0.09653594344854355,0.0851605087518692,0.0851605087518692,final,0.9963807463645935,2,2,4
0022501168,154,2026-04-10 01:43:47.916667+00:00,51.0,37.0,take_profit,-1,33.119794,14.0,1400.0,0.09087252616882324,-0.18337984383106232,-0.18337984383106232,final,0.9990897178649902,4,-2,2
0022501168,156,2026-04-10 01:44:49.166667+00:00,34.0,43.0,momentum_flip,-1,46.870818,-9.0,-900.0,0.0761016234755516,-0.087519571185112,-0.087519571185112,final,0.9991722106933594,4,-2,3
