game_id,source_possession_id,trigger_type,clock_offset_secs,wall_clock_ts,entry_price,exit_price,exit_reason,entry_side,hold_time_s,gross_pnl,net_pnl,run_prob,traj_final,traj_used,hazard_final,quarter,score_diff,run_length
0042500101,22,sub,0.0,2026-04-19 22:49:52+00:00,47.0,52.0,take_profit,1,72.169598,5.0,500.0,0.2739010751247406,0.18403223156929016,0.17753836810588836,0.9921735525131226,1,-10,6
0042500101,112,foul,0.0,2026-04-20 00:02:03+00:00,34.0,31.0,stop_loss,1,27.16963,-3.0,-300.0,0.021761322394013405,0.2112581431865692,0.19330029487609862,0.9999750852584839,3,-7,2
0042500103,16,timeout,0.0,2026-04-25 17:17:37.333333015+00:00,56.0,50.0,take_profit,-1,85.867674,6.0,600.0,0.13054987788200378,-0.1561145931482315,-0.12917520627379417,0.9849280118942261,1,5,3
0042500103,177,foul,0.0,2026-04-25 19:32:43.055556059+00:00,61.0,70.0,take_profit,1,0.144172,9.0,900.0,0.029315268620848656,0.3116625249385834,0.28518069088459014,0.9999793767929077,4,9,2
0042500103,180,foul,0.0,2026-04-25 19:34:06.388889074+00:00,60.0,68.0,take_profit,1,0.811241,8.0,800.0,0.09777940809726715,0.20441341400146484,0.1894337549805641,0.9994513392448425,4,6,3
0042500103,181,foul,0.0,2026-04-25 19:34:34.166666985+00:00,40.0,45.0,take_profit,1,11.033297,5.0,500.0,0.04952947795391083,0.31798896193504333,0.29222545921802523,0.9998028874397278,4,6,3
0042500104,89,timeout,3.0,2026-04-28 01:19:36+00:00,37.0,37.0,time_gate,-1,240,-0.0,-0.0,0.10382737219333649,-0.256888210773468,-0.2156037226319313,0.9891863465309143,2,-4,2
0042500104,159,foul,0.0,2026-04-28 02:16:58.750000+00:00,43.0,32.0,take_profit,-1,0.362622,11.0,1100.0,0.058895375579595566,-0.16365377604961395,-0.1354493960738182,0.9997918009757996,4,1,2
0042500106,48,sub,3.0,2026-05-01 23:46:15+00:00,53.0,56.0,stop_loss,-1,64.113827,-3.0,-300.0,0.24269311130046844,-0.1914115846157074,-0.16442026495933532,0.9909502863883972,2,5,3
0042500106,105,foul,0.0,2026-05-02 00:39:07.166666985+00:00,64.0,61.0,stop_loss,1,25.947282,-3.0,-300.0,0.044644225388765335,0.22760683298110962,0.2078168958425522,0.9997342228889465,3,10,5
0042500107,19,foul,7.0,2026-05-03 19:53:55.333333492+00:00,65.0,68.0,stop_loss,-1,44.832199,-3.0,-300.0,0.25366878509521484,-0.14516454935073853,-0.12228620052337646,0.9827408194541931,1,2,2
0042500113,150,sub,1.0,2026-04-25 01:17:30.166666746+00:00,36.0,29.0,take_profit,-1,43.011258,7.0,700.0,0.10457190126180649,-0.2138679027557373,-0.18014130741357803,0.9946966171264648,4,1,2
0042500115,152,foul,0.0,2026-04-29 01:03:48+00:00,41.0,50.0,take_profit,1,0.116326,9.0,900.0,0.012381848879158497,0.4251449406147003,0.39534165263175963,0.997800886631012,4,-2,2
0042500117,162,foul,0.0,2026-05-03 01:39:16.388889074+00:00,35.0,30.0,take_profit,-1,2.741625,5.0,500.0,0.20381994545459747,-0.2371370941400528,-0.20035819858312606,0.9970442652702332,4,-4,2
0042500133,24,sub,0.0,2026-04-24 00:24:08+00:00,42.0,45.0,stop_loss,-1,49.02208,-3.0,-300.0,0.10247970372438431,-0.28530409932136536,-0.2382878378033638,0.9978639483451843,1,7,3
0042500133,25,sub,14.0,2026-04-24 00:25:27.999999762+00:00,47.0,50.0,stop_loss,-1,37.021346,-3.0,-300.0,0.16399221122264862,-0.15475791692733765,-0.12880233451724052,0.9943471550941467,1,7,4
0042500135,172,foul,15.0,2026-04-30 01:53:24.750000238+00:00,69.0,73.0,stop_loss,-1,142.368664,-4.0,-400.0,0.13889959454536438,-0.2758089303970337,-0.23540176153182985,0.9895658493041992,4,5,6
0042500137,57,sub,0.0,2026-05-04 00:20:20.833333015+00:00,47.0,44.0,stop_loss,1,39.282714,-3.0,-300.0,0.038065068423748016,0.16169647872447968,0.14781320840120316,0.9998452663421631,2,-5,3
0042500153,113,foul,14.0,2026-04-25 04:19:21+00:00,70.0,73.0,stop_loss,-1,118.014341,-3.0,-300.0,0.15145722031593323,-0.14690488576889038,-0.12284365743398666,0.9981206059455872,3,11,3
0042500154,73,sub,1.0,2026-04-26 20:40:40.083333254+00:00,67.0,62.0,take_profit,-1,32.019253,5.0,500.0,0.19363859295845032,-0.15631631016731262,-0.13264229372143746,0.9760245680809021,2,9,2
0042500164,105,timeout,2.0,2026-04-26 02:16:08.166666508+00:00,30.0,25.0,take_profit,-1,184.012553,5.0,500.0,0.1117725819349289,-0.1746111512184143,-0.14693744480609894,0.9864920973777771,3,0,2
0042500166,141,timeout,0.0,2026-05-01 03:28:54.250000+00:00,48.0,43.0,take_profit,-1,0.766941,5.0,500.0,0.1017184630036354,-0.21352672576904297,-0.17801234126091003,0.9990783929824829,3,4,2
0042500166,168,foul,0.0,2026-05-01 03:54:04.500000+00:00,46.0,56.0,take_profit,1,0.516953,10.0,1000.0,0.05527951568365097,0.17624589800834656,0.15941073298454284,0.9999663829803467,4,8,3
0042500166,183,foul,0.0,2026-05-01 04:06:08.138889074+00:00,61.0,54.0,take_profit,-1,15.877932,7.0,700.0,0.18369299173355103,-0.1540164053440094,-0.12991558238863946,0.9989670515060425,4,5,2
0042500166,185,sub,1.0,2026-05-01 04:08:00.166666985+00:00,63.0,48.0,take_profit,-1,0.850123,15.0,1500.0,0.01670772023499012,-0.7953938245773315,-0.6727685689926147,0.9995775818824768,4,7,3
0042500166,187,foul,0.0,2026-05-01 04:08:24.994443893+00:00,67.0,62.0,take_profit,-1,6.022419,5.0,500.0,0.008619084022939205,-0.6619834899902344,-0.5510783404111862,0.9996362924575806,4,10,3
0042500166,189,sub,0.0,2026-05-01 04:09:07.988888979+00:00,65.0,75.0,take_profit,1,14.028575,10.0,1000.0,0.004870702978223562,0.34025391936302185,0.32424186170101166,0.9999425411224365,4,12,3
0042500166,189,timeout,6.0,2026-05-01 04:09:26.155555487+00:00,60.0,65.0,take_profit,1,0.861303,5.0,500.0,0.012642888352274895,0.16228598356246948,0.15622705221176147,0.9998712539672852,4,12,3
0042500172,52,foul,22.0,2026-04-22 03:25:15.999999762+00:00,49.0,41.0,take_profit,-1,0.105672,8.0,800.0,0.1381222903728485,-0.21009257435798645,-0.17433832287788392,0.9993197917938232,2,10,4
0042500173,114,timeout,0.0,2026-04-25 01:40:14.333333015+00:00,39.0,33.0,take_profit,-1,53.766801,6.0,600.0,0.22247003018856049,-0.1919495165348053,-0.1623524695634842,0.9952325224876404,3,-8,2
0042500173,194,timeout,0.0,2026-04-25 02:40:37.450000048+00:00,41.0,33.0,stop_loss,1,1.6509070000000001,-8.0,-800.0,0.009343907237052917,0.14220675826072693,0.13601813465356827,0.9937264919281006,4,3,2
0042500201,170,foul,0.0,2026-05-06 01:21:08.666666985+00:00,46.0,53.0,take_profit,1,0.432647,7.0,700.0,0.019153594970703125,0.17295128107070923,0.1602216601371765,0.9990702271461487,4,0,3
0042500202,145,timeout,0.0,2026-05-08 01:08:11.416666985+00:00,46.0,51.0,take_profit,1,69.745945,5.0,500.0,0.04769807308912277,0.14622269570827484,0.13512517511844635,0.99888676404953,4,0,3
0042500203,14,foul,0.0,2026-05-09 19:21:33.750000+00:00,53.0,56.0,stop_loss,-1,38.461154,-3.0,-300.0,0.05058586224913597,-0.17509174346923828,-0.14458705633878707,0.9993508458137512,1,-6,2
0042500203,41,sub,0.0,2026-05-09 19:39:42.750000+00:00,57.0,61.0,stop_loss,-1,68.461433,-4.0,-400.0,0.03922111541032791,-0.22078180313110352,-0.18451099395751952,0.9992647767066956,1,1,2
0042500203,56,sub,12.0,2026-05-09 19:53:13.333333254+00:00,60.0,63.0,stop_loss,-1,27.878146,-3.0,-300.0,0.036119893193244934,-0.15463340282440186,-0.12694395557045937,0.9993359446525574,2,3,3
