game_id,possession_id,wall_clock_ts,entry_price,exit_price,exit_reason,entry_side,hold_time_s,gross_pnl,net_pnl,run_prob,traj_final,traj_used,traj_aggregator,hazard_final,quarter,score_diff,run_length,fees,entry_tick_age_s
0042500101,117,2026-04-20 00:06:54+00:00,42.0,45.0,stop_loss,-1,10.170109,-3.0,-5.17,0.17810489237308502,-0.11195418238639832,-0.09296938925981521,mean,0.9997588992118835,3,-9,5,2.17,2.8298870000000003
0042500101,124,2026-04-20 00:12:51+00:00,60.0,55.0,take_profit,-1,16.170091,5.0,4.13,0.15548646450042725,-0.13081122934818268,-0.11014984846115113,mean,0.9997381567955017,3,-3,4,0.87,0.830397
0042500102,95,2026-04-23 00:27:45.916667+00:00,65.0,64.0,momentum_flip,-1,56.206805,1.0,-1.02,0.1697959154844284,-0.10590337216854095,-0.08750009983778,mean,0.9983602166175842,2,0,2,2.02,21.793243
0042500103,110,2026-04-25 18:36:51+00:00,67.0,70.0,stop_loss,-1,13.199704,-3.0,-4.87,0.2541074752807617,-0.1380612552165985,-0.11587794944643974,mean,0.9969685673713684,3,3,2,1.87,0.796268
0042500107,19,2026-05-03 19:54:34+00:00,68.0,71.0,stop_loss,-1,38.165171,-3.0,-4.84,0.16358211636543274,-0.10215409100055695,-0.08436204567551613,mean,0.9959486722946167,1,2,2,1.8399999999999999,0.834853
0042500107,59,2026-05-03 20:19:22.666667+00:00,62.0,66.0,stop_loss,-1,26.499419,-4.0,-6.0,0.22217993438243866,-0.09922250360250473,-0.08201695010066032,mean,0.9969513416290283,2,3,2,2.0,0.501379
0042500123,105,2026-04-24 00:30:32.500000+00:00,70.0,74.0,stop_loss,-1,26.60878,-4.0,-5.720000000000001,0.26731574535369873,-0.18802733719348907,-0.15640059262514114,mean,0.9971177577972412,3,6,5,1.7200000000000002,0.392021
0042500123,130,2026-04-24 00:48:50.166667+00:00,61.0,56.0,take_profit,-1,1.941063,5.0,4.14,0.2142522931098938,-0.09664967656135559,-0.08014873303472995,mean,0.9988769888877869,3,8,2,0.86,0.058631
0042500126,6,2026-04-30 23:16:39.583333+00:00,41.0,46.0,stop_loss,-1,6.560706,-5.0,-7.17,0.15749821066856384,-0.11742478609085083,-0.09690464809536933,mean,0.9976884126663208,1,-3,2,2.17,0.439526
0042500133,25,2026-04-24 00:25:33.333333+00:00,48.0,43.0,take_profit,-1,73.688547,5.0,4.13,0.15567724406719208,-0.124293252825737,-0.10191784799098969,mean,0.9957447648048401,1,7,4,0.87,0.310856
0042500133,50,2026-04-24 00:44:52.333333+00:00,55.0,50.0,take_profit,-1,39.68828,5.0,4.12,0.25187045335769653,-0.10635226964950562,-0.0875259093940258,mean,0.9966179728507996,2,8,2,0.88,3.312152
0042500133,79,2026-04-24 01:09:52.416667+00:00,33.0,28.0,take_profit,-1,38.615661,5.0,4.25,0.18320712447166443,-0.10785415768623352,-0.08922352418303489,mean,0.9996592998504639,2,1,2,0.75,0.394609
0042500135,33,2026-04-30 00:00:43.750000+00:00,64.0,65.0,momentum_flip,-1,114.369477,-1.0,-3.0100000000000002,0.27804163098335266,-0.10344954580068588,-0.08541654422879219,mean,0.9975893497467041,1,-10,2,2.0100000000000002,0.630517
0042500135,110,2026-04-30 01:06:32.750000+00:00,46.0,49.0,stop_loss,-1,12.369295,-3.0,-5.1899999999999995,0.22144275903701782,-0.12083366513252258,-0.1000552900135517,mean,0.9967917799949646,3,-12,5,2.19,0.631269
