game_id,possession_id,wall_clock_ts,entry_price,exit_price,exit_reason,entry_side,hold_time_s,gross_pnl,net_pnl,run_prob,traj_final,traj_used,traj_aggregator,hazard_final,quarter,score_diff,run_length
0022501150,20,2026-04-07 23:53:25.333333+00:00,31.0,31.0,momentum_flip,-1,157.7134,-0.0,-0.0,0.10873740166425705,-0.0813693031668663,-0.0813693031668663,final,0.9879750609397888,1,-2,2
0022501150,38,2026-04-08 00:03:38.500000+00:00,42.0,42.0,momentum_flip,-1,169.546696,-0.0,-0.0,0.11357234418392181,-0.11762355268001556,-0.11762355268001556,final,0.9945802092552185,1,-7,3
0022501150,54,2026-04-08 00:16:04.666667+00:00,54.0,54.0,momentum_flip,-1,351.380624,-0.0,-0.0,0.1446322351694107,-0.10950947552919388,-0.10950947552919388,final,0.9830970764160156,2,4,4
0022501150,66,2026-04-08 00:27:18.333333+00:00,53.0,56.0,momentum_flip,-1,229.713725,-3.0,-300.0,0.10439102351665497,-0.14319805800914764,-0.14319805800914764,final,0.9949117302894592,2,7,2
0022501150,81,2026-04-08 00:43:07.916667+00:00,54.0,54.0,momentum_flip,-1,96.131744,-0.0,-0.0,0.11319985240697861,-0.09362879395484924,-0.09362879395484924,final,0.9912205338478088,2,4,2
0022501150,123,2026-04-08 01:10:39+00:00,69.0,59.0,momentum_flip,-1,187.046598,10.0,1000.0,0.14548736810684204,-0.09436404705047607,-0.09436404705047607,final,0.9891858696937561,3,9,3
0022501150,159,2026-04-08 01:34:31.555556+00:00,63.0,58.0,momentum_flip,-1,216.490888,5.0,500.0,0.12179888784885406,-0.12270228564739227,-0.12270228564739227,final,0.9834991097450256,4,5,2
0022501150,169,2026-04-08 01:40:56.861111+00:00,40.0,53.0,momentum_flip,1,81.185429,13.0,1300.0,0.08786625415086746,0.2831062078475952,0.2831062078475952,final,0.9895350337028503,4,2,2
0022501151,38,2026-04-08 00:02:57+00:00,51.0,53.0,momentum_flip,-1,32.049821,-2.0,-200.0,0.130816251039505,-0.11745879054069519,-0.11745879054069519,final,0.9961877465248108,1,1,2
0022501151,116,2026-04-08 01:00:33.083333+00:00,70.0,72.0,momentum_flip,1,227.966411,2.0,200.0,0.13373398780822754,0.10143357515335083,0.10143357515335083,final,0.9897965788841248,3,12,2
0022501158,18,2026-04-08 23:23:46.250000+00:00,63.0,61.0,momentum_flip,1,130.869278,-2.0,-200.0,0.12075484544038773,0.10460099577903748,0.10460099577903748,final,0.9926428198814392,1,6,2
0022501158,183,2026-04-09 01:16:51.666667+00:00,47.0,69.0,take_profit,1,316.45231,22.0,2200.0,0.10694742947816849,0.13474306464195251,0.13474306464195251,final,0.9910039901733398,4,5,3
0022501158,193,2026-04-09 01:22:21.250000+00:00,60.0,48.0,stop_loss,1,153.868943,-12.0,-1200.0,0.12339107692241669,0.46939265727996826,0.46939265727996826,final,0.9933869242668152,4,5,5
0022501158,198,2026-04-09 01:26:05.833333+00:00,58.0,71.0,stop_loss,-1,225.284938,-13.0,-1300.0,0.13805413246154785,-0.2328885942697525,-0.2328885942697525,final,0.9699025750160217,4,4,6
0022501167,10,2026-04-09 23:46:39.750000+00:00,31.0,32.0,momentum_flip,1,239.282273,1.0,100.0,0.08800763636827469,0.42115211486816406,0.42115211486816406,final,0.9908809661865234,1,3,2
0022501168,5,2026-04-09 23:46:45+00:00,58.0,55.0,momentum_flip,1,160.036939,-3.0,-300.0,0.12817662954330444,0.2865261435508728,0.2865261435508728,final,0.9895800948143005,1,5,2
0022501168,60,2026-04-10 00:23:07.500000+00:00,64.0,51.0,momentum_flip,-1,300.53651,13.0,1300.0,0.17452472448349,-0.17810599505901337,-0.17810599505901337,final,0.9823166728019714,2,2,4
0022501168,89,2026-04-10 00:50:48.750000+00:00,57.0,58.0,momentum_flip,-1,252.286345,-1.0,-100.0,0.1625002920627594,-0.11097374558448792,-0.11097374558448792,final,0.9926856756210327,2,5,2
0022501168,118,2026-04-10 01:15:50+00:00,64.0,64.0,momentum_flip,-1,140.036376,-0.0,-0.0,0.15792666375637054,-0.14170067012310028,-0.14170067012310028,final,0.9879107475280762,3,6,2
0022501168,139,2026-04-10 01:31:03.750000+00:00,31.0,19.0,stop_loss,1,98.286619,-12.0,-1200.0,0.1032053679227829,0.23181390762329102,0.23181390762329102,final,0.9977091550827026,4,-3,2
0022501168,154,2026-04-10 01:43:47.916667+00:00,51.0,43.0,momentum_flip,-1,108.120818,8.0,800.0,0.1307661533355713,-0.24699634313583374,-0.24699634313583374,final,0.9866769313812256,4,-2,2
0022501171,16,2026-04-10 23:20:57.833333+00:00,65.0,59.0,momentum_flip,-1,115.319612,6.0,600.0,0.12241925299167633,-0.08916378766298294,-0.08916378766298294,final,0.9896953105926514,1,2,2
0022501171,65,2026-04-10 23:55:26.666667+00:00,45.0,47.0,momentum_flip,1,75.485519,2.0,200.0,0.0918147936463356,0.1470208615064621,0.1470208615064621,final,0.9987132549285889,2,-1,2
0022501171,71,2026-04-11 00:00:24.333333+00:00,51.0,48.0,momentum_flip,-1,75.819022,3.0,300.0,0.15452152490615845,-0.11973126232624054,-0.11973126232624054,final,0.9956145286560059,2,-3,2
0022501171,102,2026-04-11 00:27:02.333333+00:00,49.0,49.0,momentum_flip,-1,187.819642,-0.0,-0.0,0.11645252257585526,-0.10670309513807297,-0.10670309513807297,final,0.9888627529144287,2,-5,3
0022501171,121,2026-04-11 00:40:32.500000+00:00,56.0,62.0,momentum_flip,1,177.65287,6.0,600.0,0.1747112274169922,0.17636904120445251,0.17636904120445251,final,0.9911905527114868,3,0,2
0022501171,130,2026-04-11 00:45:27.500000+00:00,61.0,56.0,momentum_flip,-1,42.652798,5.0,500.0,0.18572178483009338,-0.16845011711120605,-0.16845011711120605,final,0.9938569664955139,3,0,2
0022501171,144,2026-04-11 00:56:25+00:00,45.0,46.0,momentum_flip,1,48.153252,1.0,100.0,0.17125725746154785,0.1461888700723648,0.1461888700723648,final,0.9958040118217468,3,-2,2
0022501176,9,2026-04-10 23:48:57.666667+00:00,68.0,70.0,momentum_flip,-1,512.396578,-2.0,-200.0,0.19424913823604584,-0.18620097637176514,-0.18620097637176514,final,0.9698868989944458,1,4,2
0022501176,27,2026-04-11 00:00:31.250000+00:00,69.0,69.0,momentum_flip,-1,36.812792,-0.0,-0.0,0.162810817360878,-0.2976730465888977,-0.2976730465888977,final,0.9919427633285522,1,9,2
0022501176,32,2026-04-11 00:03:32.500000+00:00,64.0,59.0,momentum_flip,1,94.563358,-5.0,-500.0,0.09738170355558395,0.08784866333007812,0.08784866333007812,final,0.998038113117218,1,4,2
0022501186,144,2026-04-12 23:56:53.750000+00:00,63.0,62.0,momentum_flip,-1,408.396829,1.0,100.0,0.13804562389850616,-0.28681883215904236,-0.28681883215904236,final,0.9945427179336548,3,6,2
0022501186,160,2026-04-13 00:06:12.583333+00:00,68.0,77.0,momentum_flip,-1,77.563702,-9.0,-900.0,0.13714884221553802,-0.29386138916015625,-0.29386138916015625,final,0.9929932951927185,4,11,2
0022501186,179,2026-04-13 00:20:35.916667+00:00,53.0,45.0,momentum_flip,-1,321.230748,8.0,800.0,0.09829249978065491,-0.26007282733917236,-0.26007282733917236,final,0.9934061765670776,4,9,2
0022501186,192,2026-04-13 00:29:01.583333+00:00,66.0,78.0,stop_loss,-1,88.564171,-12.0,-1200.0,0.10249388962984085,-0.3159518837928772,-0.3159518837928772,final,0.9931921362876892,4,5,2
0022501186,198,2026-04-13 00:33:23.666667+00:00,40.0,52.0,stop_loss,-1,132.481068,-12.0,-1200.0,0.054310187697410583,-0.7254821062088013,-0.7254821062088013,final,0.9968597888946533,4,7,2
0022501186,207,2026-04-13 00:39:22.258333+00:00,37.0,44.0,momentum_flip,-1,43.889047,-7.0,-700.0,0.05381195992231369,-0.6480208039283752,-0.6480208039283752,final,0.9970916509628296,4,3,2
0022501187,153,2026-04-12 23:49:04.666667+00:00,66.0,86.0,take_profit,1,276.481402,20.0,2000.0,0.1330185979604721,0.26913926005363464,0.26913926005363464,final,0.9892997741699219,4,4,2
0042500101,13,2026-04-19 22:46:34.666667+00:00,57.0,52.0,momentum_flip,-1,272.503032,5.0,500.0,0.16947034001350403,-0.1031859964132309,-0.1031859964132309,final,0.9922406673431396,1,-3,2
0042500103,18,2026-04-25 17:20:04+00:00,48.0,43.0,momentum_flip,1,102.200207,-5.0,-500.0,0.10433997213840485,0.1134427934885025,0.1134427934885025,final,0.9672872424125671,1,8,4
0042500103,27,2026-04-25 17:23:08+00:00,44.0,44.0,time_gate,-1,600.0,-0.0,-0.0,0.12149974703788757,-0.14766280353069305,-0.14766280353069305,final,0.989168643951416,1,6,2
0042500103,47,2026-04-25 17:33:45.333333+00:00,42.0,42.0,momentum_flip,-1,94.867299,-0.0,-0.0,0.14933592081069946,-0.08945047855377197,-0.08945047855377197,final,0.9503764510154724,1,-2,7
0042500103,95,2026-04-25 18:24:06.666667+00:00,60.0,60.0,momentum_flip,-1,179.534949,-0.0,-0.0,0.1419127732515335,-0.10071442276239395,-0.10071442276239395,final,0.983043372631073,2,8,2
0042500103,109,2026-04-25 18:35:49.333333+00:00,52.0,64.0,stop_loss,-1,62.867593,-12.0,-1200.0,0.1578730344772339,-0.2094692885875702,-0.2094692885875702,final,0.9809243679046631,3,3,2
0042500103,111,2026-04-25 18:37:24.916667+00:00,70.0,71.0,momentum_flip,-1,204.283314,-1.0,-100.0,0.17167560756206512,-0.24171051383018494,-0.24171051383018494,final,0.9750686287879944,3,3,2
0042500103,137,2026-04-25 18:57:08.916667+00:00,64.0,76.0,stop_loss,-1,313.283543,-12.0,-1200.0,0.21358689665794373,-0.08155842125415802,-0.08155842125415802,final,0.9834482669830322,3,11,2
0042500103,176,2026-04-25 19:32:43.055556+00:00,61.0,39.0,stop_loss,1,110.144201,-22.0,-2200.0,0.10147576034069061,0.4248853325843811,0.4248853325843811,final,0.9924807548522949,4,11,2
0042500103,180,2026-04-25 19:34:34.166667+00:00,40.0,28.0,stop_loss,1,202.033105,-12.0,-1200.0,0.08766376227140427,0.43784230947494507,0.43784230947494507,final,0.9958422780036926,4,6,3
0042500103,186,2026-04-25 19:39:39.722222+00:00,69.0,45.0,take_profit,-1,0.477902,24.0,2400.0,0.0946303978562355,-0.4981323480606079,-0.4981323480606079,final,0.9975013136863708,4,6,5
0042500106,45,2026-05-01 23:42:22.500000+00:00,43.0,55.0,stop_loss,-1,284.613986,-12.0,-1200.0,0.20257022976875305,-0.08430694043636322,-0.08430694043636322,final,0.9689902663230896,2,1,2
0042500106,48,2026-05-01 23:47:15+00:00,57.0,57.0,momentum_flip,-1,188.11374,-0.0,-0.0,0.13096065819263458,-0.1379799097776413,-0.1379799097776413,final,0.9891330599784851,2,5,3
0042500106,104,2026-05-02 00:39:07.166667+00:00,64.0,71.0,momentum_flip,1,424.94737,7.0,700.0,0.1072055771946907,0.10441859066486359,0.10441859066486359,final,0.9938057661056519,3,13,5
0042500106,138,2026-05-02 01:04:57.277778+00:00,49.0,37.0,stop_loss,1,441.836351,-12.0,-1200.0,0.12172990292310715,0.11244194209575653,0.11244194209575653,final,0.9849221110343933,4,4,5
0042500107,17,2026-05-03 19:53:19.083333+00:00,66.0,71.0,momentum_flip,-1,149.081831,-5.0,-500.0,0.2139572948217392,-0.0980476588010788,-0.0980476588010788,final,0.9526898860931396,1,5,2
