player_id,player_name,star_tier,team_tricode,team_id
1629098,McVeigh,5,HOU,11.0
1642505,Ducas,5,OKC,21.0
1642938,C. Jones,5,DEN,8.0
1641739,Camara,5,POR,25.0
1628976,Carter Jr.,5,ORL,22.0
1630256,Tate,5,HOU,11.0
202685,Valanciunas,4,DEN,8.0
1642920,Sanders,5,LAC,13.0
1630581,Giddey,5,CHI,5.0
1630165,Hayes,5,SAC,26.0
1641712,Rupert,5,POR,25.0
1629645,Porter Jr.,4,MIL,17.0
1629627,Williamson,3,NOP,19.0
203084,Barnes,5,SAS,27.0
202696,Vucevic,4,CHI,5.0
1642868,Bryant,5,SAS,27.0
201939,St. Curry,1,GSW,10.0
1630573,Hauser,5,BOS,2.0
1643133,Lovering,5,MEM,15.0
1630245,Dosunmu,5,MIN,18.0
1641706,Miller,4,CHA,4.0
1642267,Carrington,5,WAS,30.0
1629006,Okogie,5,HOU,11.0
1642879,Saraf,5,BKN,3.0
1641716,Walker,5,IND,12.0
1630178,Maxey,2,PHI,23.0
1629638,Alexander-Walker,5,ATL,1.0
1630595,Cunningham,2,DET,9.0
1630193,Quickley,3,TOR,28.0
1642275,Salaun,5,CHA,4.0
201942,DeRozan,3,SAC,26.0
1642261,Knecht,5,LAL,14.0
1628436,Kornet,5,SAS,27.0
1628960,Allen,4,PHX,24.0
1627747,LeVert,5,DET,9.0
1642266,Walter,5,TOR,28.0
201566,Westbrook,4,SAC,26.0
1628396,Bradley,5,IND,12.0
1628415,Brooks,5,PHX,24.0
1630557,Kispert,5,ATL,1.0
1641705,Wembanyama,2,SAS,27.0
1629684,Williams,5,CHA,4.0
1630699,Beauchamp,5,PHI,23.0
1630639,Lawson,5,TOR,28.0
1627832,VanVleet,5,HOU,11.0
1630579,Sims,5,MIL,17.0
1628991,Jackson Jr.,2,MEM,15.0
1629060,Hachimura,5,LAL,14.0
1628971,Brown,5,DEN,8.0
203991,Capela,4,HOU,11.0
1630529,Jones,3,NOP,19.0
203486,Plumlee,5,CHA,4.0
1631245,Jackson,5,IND,12.0
101108,Paul,4,LAC,13.0
1642860,Riley,5,WAS,30.0
1641727,Whitehead,5,BKN,3.0
1642874,Wolf,5,BKN,3.0
1631166,Timme,5,LAL,14.0
1629610,Jeffries,5,CHA,4.0
1626192,Connaughton,5,CHA,4.0
1630625,Banton,5,BOS,2.0
1641767,Sheppard,5,IND,12.0
1642357,Jones Garcia,5,SAS,27.0
1642450,Jenkins,5,DET,9.0
1630346,Ryan,5,NYK,20.0
1629646,Bassey,5,PHI,23.0
1631246,Williams Jr.,5,MEM,15.0
1641794,Jones,5,NYK,20.0
1642279,Chomche,5,TOR,28.0
204060,Ingles,5,MIN,18.0
1631209,Wong,5,CHA,4.0
1642359,Dadiet,5,NYK,20.0
1642955,Richmond,5,WAS,30.0
1641815,Stevens,5,SAC,26.0
1626158,Holmes,5,WAS,30.0
1629680,Thybulle,5,POR,25.0
1641789,Gortman,5,DAL,7.0
1629669,Nowell,5,NOP,19.0
1641778,Black,5,WAS,30.0
1631232,Brooks Jr.,5,NOP,19.0
1642434,Minix,5,SAS,27.0
203648,Antetokounmpo,1,MIL,17.0
1641798,Martin,5,BKN,3.0
1630530,Murphy III,4,NOP,19.0
1631204,Sasser,5,DET,9.0
203110,Green,5,GSW,10.0
1626220,O'Neale,5,PHX,24.0
203083,Drummond,5,PHI,23.0
1630170,Vassell,5,SAS,27.0
1629029,Doncic,1,LAL,14.0
1630162,Edwards,2,MIN,18.0
1629013,Shamet,5,NYK,20.0
201569,Gordon,5,PHI,23.0
1631223,Roddy,5,PHI,23.0
1630572,Mamukelashvili,5,TOR,28.0
1627734,Sabonis,2,SAC,26.0
1641715,Whitmore,5,WAS,30.0
1631248,Scheierman,5,BOS,2.0
203076,Davis,1,DAL,7.0
203914,Harris,5,MIL,17.0
1630559,Reaves,3,LAL,14.0
1630230,Marshall,5,DAL,7.0
1642964,Barnhizer,5,OKC,21.0
201572,Lopez,4,LAC,13.0
1630173,Achiuwa,5,SAC,26.0
1626171,Portis,4,MIL,17.0
1642363,Clifford,5,SAC,26.0
1641824,Buzelis,5,CHI,5.0
1629660,Jerome,5,MEM,15.0
203468,McCollum,5,WAS,30.0
1631165,Ellis,5,SAC,26.0
1631117,Kessler,5,UTA,29.0
1629012,Sexton,5,CHI,5.0
1642274,Missi,5,NOP,19.0
1641711,Dick,5,TOR,28.0
1630168,Okongwu,5,ATL,1.0
1642854,Newell,5,ATL,1.0
1642346,Dunn,5,PHX,24.0
1626179,Rozier,5,MIA,16.0
1630283,Kelley,5,DAL,7.0
1630543,I. Jackson,5,IND,12.0
1626164,Booker,2,PHX,24.0
1642366,Post,5,GSW,10.0
1631126,Love,5,POR,25.0
1631230,Barlow,5,PHI,23.0
1631123,Bouyea,5,PHX,24.0
203114,Middleton,4,DAL,7.0
1626162,Oubre Jr.,5,PHI,23.0
1629637,Hayes,5,LAL,14.0
1631093,Ivey,5,DET,9.0
1630591,Suggs,3,ORL,22.0
1630314,Williams,5,DAL,7.0
1630531,Springer,5,BOS,2.0
1630619,Cisse,5,DAL,7.0
1626153,Wright,5,NYK,20.0
1630228,Kuminga,5,ATL,1.0
1628964,Bamba,5,UTA,29.0
1642382,Carlson,5,OKC,21.0
1642269,Carter,5,SAC,26.0
1631099,Murray,4,SAC,26.0
203995,Micić,5,CHA,4.0
1641733,Smith Jr.,4,LAL,14.0
1630180,Bey,5,NOP,19.0
1629640,Johnson,4,SAS,27.0
1631214,Williams,5,WAS,30.0
1642914,Small,5,MEM,15.0
1642950,Olbrich,5,CHI,5.0
1642484,Dennis,5,LAC,13.0
1629750,Green,5,DET,9.0
1627827,Finney-Smith,5,HOU,11.0
1631110,Sochan,5,NYK,20.0
1629723,Konchar,5,UTA,29.0
1642864,Gonzalez,5,BOS,2.0
201599,Jordan,5,NOP,19.0
1631260,Green,5,MIL,17.0
1642928,Cardwell,5,SAC,26.0
1630574,Hukporti,5,NYK,20.0
1642066,Gardner,5,MIA,16.0
1630249,Krejci,5,ATL,1.0
1630311,Spencer,5,GSW,10.0
1641772,Tomlin,5,CLE,6.0
1629611,Mann,5,BKN,3.0
1641736,Beekman,5,BKN,3.0
1641790,Hall,5,CHA,4.0
1642882,Reese,5,WAS,30.0
1631159,Miller,4,CHI,5.0
1642873,Williams,5,BOS,2.0
1631466,Williams,5,GSW,10.0
1628502,Hayes-Davis,5,PHX,24.0
1643141,Telfort,5,LAC,13.0
1641725,Alexander,5,NOP,19.0
1631199,Harper Jr.,5,BOS,2.0
1630658,Castleton,5,MEM,15.0
1630561,Duke Jr.,5,SAS,27.0
1642400,Enaruna,5,CLE,6.0
1641721,Lewis,5,BKN,3.0
1643018,Cryer,5,GSW,10.0
1630164,Wiseman,5,IND,12.0
1629130,Robinson,5,DET,9.0
1627783,Siakam,2,IND,12.0
202692,Burks,5,MIA,16.0
1631103,Branham,5,WAS,30.0
1628386,Allen,4,CLE,6.0
1628970,Bridges,5,CHA,4.0
1642260,Topic,5,OKC,21.0
1630544,Mann,5,CHA,4.0
1641709,Thompson,4,DET,9.0
202710,Butler III,5,GSW,10.0
1630552,Johnson,2,ATL,1.0
1627750,Murray,3,DEN,8.0
1642273,George,5,WAS,30.0
1631111,Moore Jr.,5,DET,9.0
1627759,Brown,2,BOS,2.0
1628369,Tatum,1,BOS,2.0
203552,Curry,2,GSW,10.0
1628374,Markkanen,3,UTA,29.0
1629020,Vanderbilt,5,LAL,14.0
1641718,George,2,UTA,29.0
1628370,Monk,4,SAC,26.0
1642383,Clayton Jr.,5,UTA,29.0
1642345,Ighodaro,5,PHX,24.0
1630188,Smith,5,CHI,5.0
1630577,Champagnie,5,SAS,27.0
1629661,Johnson,4,DEN,8.0
1641753,Livingston,5,CLE,6.0
1630194,Reed,5,DET,9.0
1629216,Vincent,5,LAL,14.0
1631170,Jaquez Jr.,4,MIA,16.0
1642422,Traore,5,LAL,14.0
203944,Randle,3,MIN,18.0
1627752,Prince,5,MIL,17.0
1630231,Martin,5,PHI,23.0
1630611,Santos,5,GSW,10.0
203901,Payton,5,CHA,4.0
1630526,Robinson-Earl,5,DAL,7.0
1631323,Fontecchio,5,MIA,16.0
1642461,Jones,5,DEN,8.0
1642449,Smith,5,DET,9.0
1642347,Shead,5,TOR,28.0
1630539,Jones,5,LAC,13.0
